[DEBUG] [2021-07-10 18:12:25] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 99, groupId: 1
[DEBUG] [2021-07-10 18:12:25] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 99, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-10 18:12:25] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20200, blockNumber: 99
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e3bb75f291e64adf8556e4dfdfdad14d, msgType : 18
[DEBUG] [2021-07-10 18:12:25] SslHandler.setHandshakeSuccess(1746) | [id: 0x0f94adf7, L:/127.0.0.1:62034 - R:/127.0.0.1:20201] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2021-07-10 18:12:25] ConnectionManager.reconnect(197) |  reconnect to 127.0.0.1:20201 success
[INFO] [2021-07-10 18:12:25] ChannelHandler.userEventTriggered(73) |  handshake success, host: 127.0.0.1, port: 20201, ctx: 1620752765
[DEBUG] [2021-07-10 18:12:25] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 127.0.0.1:20201, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x0f94adf7, L:/127.0.0.1:62034 - R:/127.0.0.1:20201])
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5c10dfc8551d41f899a911a0583df605, msgType : 18
[INFO] [2021-07-10 18:12:25] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:15:37', buildType='Darwin/appleclang/RelWithDebInfo', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":11,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:15:37","Build Type":"Darwin/appleclang/RelWithDebInfo","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-07-10 18:12:25] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7e08bc73ac414eadb19d6754e2e34473, msgType : 20
[INFO] [2021-07-10 18:12:25] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20201, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-07-10 18:12:25] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 127.0.0.1:20201
[INFO] [2021-07-10 18:12:25] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:127.0.0.1:20201
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 87477a364eb74366bf4e4cd3cce63e07, msgType : 18
[DEBUG] [2021-07-10 18:12:25] GroupServiceImpl.insertNode(84) | g:1, insertNode=127.0.0.1:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2021-07-10 18:12:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dcfdf0b383844224a8be6cd1248aede5, msgType : 18
[DEBUG] [2021-07-10 18:12:25] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 99, groupId: 1
[DEBUG] [2021-07-10 18:12:25] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 99, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-10 18:12:25] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20201, blockNumber: 99
[DEBUG] [2021-07-10 18:12:25] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
